person_info,finance_info,credit_info,act_info,y_pred,bad_ind
-0.3225806451612903,0.023809523809523808,0.0,0.21794871794871795,0.17245474490903487,0.0
-0.1286774193548387,0.023809523809523808,0.0,0.4230769230769231,0.22500829712282885,0.0
0.06266021505376344,0.023809523809523808,0.1,0.4487179487179487,0.4095628136253994,0.0
0.07885304659498207,0.07142857142857142,0.05,0.1794871794871795,0.6376209622195516,0.0
-0.2610139784946237,0.023809523809523808,0.0,0.4230769230769231,0.1545724340878064,0.0
0.013863440860215051,0.023809523809523808,0.5,0.16666666666666666,0.7153725468862469,0.0
0.07885304659498207,0.023809523809523808,0.02,0.4615384615384616,0.3711598941485026,0.0
-0.2610139784946237,0.023809523809523808,0.02,0.4230769230769231,0.16109931572609776,0.0
-0.1286774193548387,0.023809523809523808,0.12,0.21794871794871795,0.35524505769873743,0.0
-0.05371756272401434,0.023809523809523808,0.0,0.20512820512820512,0.3527136485134678,0.0
-0.1286774193548387,0.047619047619047616,0.7,0.16666666666666666,0.7660289260526206,-1.0
0.06266021505376344,0.023809523809523808,0.0,0.4230769230769231,0.3616835101351527,0.0
-0.3225806451612903,0.023809523809523808,0.08,0.1794871794871795,0.21298594302817045,0.0
-0.2610139784946237,0.023809523809523808,0.0,0.4230769230769231,0.1545724340878064,0.0
0.07885304659498207,0.07142857142857142,0.0,0.21794871794871795,0.5932475192339748,0.0
-0.3225806451612903,0.023809523809523808,0.3,0.1794871794871795,0.31716576283593245,0.0
-0.3225806451612903,0.023809523809523808,0.02,0.16666666666666666,0.19267523179748347,0.0
-0.1286774193548387,0.023809523809523808,0.0,0.21794871794871795,0.29096274574838704,0.0
-0.05371756272401434,0.023809523809523808,0.0,0.4230769230769231,0.2739328305884636,0.0
-0.1286774193548387,0.023809523809523808,0.0,0.16666666666666666,0.30912519331743327,0.0
-0.2610139784946237,0.023809523809523808,0.02,0.16666666666666666,0.228364629578757,0.0
-0.2610139784946237,0.07142857142857142,0.05,0.21794871794871795,0.33458392660616765,0.0
-0.1286774193548387,0.023809523809523808,0.03,0.16666666666666666,0.32507411444534734,0.0
-0.2610139784946237,0.023809523809523808,0.0,0.1794871794871795,0.21614034500105558,0.0
-0.3225806451612903,0.023809523809523808,0.02,0.4230769230769231,0.1340954575691992,0.0
